"ROK","ICP","TYP_KAT","NAZEV_PRILOHA2"
2022,119801532,"TECHN","Aplikace nátěrových hmot, včetně kataforetického nanášení, nespadají-li pod činnosti uvedené pod kódy 9.9. až 9.14., s celkovou projektovanou spotřebou organických rozpouštědel 0,6 t za rok nebo větší"
2022,119801632,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119801652,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119801672,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119801702,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119801722,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119801852,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119801922,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119802002,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119802012,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119802012,"SPAL","Spalování paliv v pístových spalovacích motorech o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119802052,"TECHN","Aplikace nátěrových hmot, včetně kataforetického nanášení, nespadají-li pod činnosti uvedené pod kódy 9.9. až 9.14., s celkovou projektovanou spotřebou organických rozpouštědel 0,6 t za rok nebo větší"
2022,119802082,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119802312,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119802332,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119802372,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119802732,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119802982,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119803082,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119803082,"SPAL","Spalování paliv v pístových spalovacích motorech o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119803192,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119803192,"SPAL","Spalování paliv v pístových spalovacích motorech o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119803232,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119803252,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119803602,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119803652,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119803652,"SPAL","Spalování paliv v pístových spalovacích motorech o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119803782,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119804022,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119804022,"SPAL","Spalování paliv v pístových spalovacích motorech o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119804432,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119804452,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119804492,"TECHN","Nanášení práškových plastů"
2022,119804522,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119804662,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119804662,"TECHN","Výroba farmaceutických směsí"
2022,119805012,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119805022,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119805382,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119805582,"TECHN","Přestříkávání vozidel - opravárenství s celkovou projektovanou spotřebou organických rozpouštědel 0,5 t za rok nebo větší a nátěry při výrobě nových silničních a kolejových vozidel s celkovou projektovanou spotřebou organických rozpouštědel menší než 15 t za rok"
2022,119805702,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119805752,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119805762,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119805772,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119805782,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119805792,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119805802,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119805812,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119805822,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119805832,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119805842,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119805852,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119805902,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119805902,"TECHN","Jiné tiskařské činnosti s celkovou projektovanou spotřebou organických rozpouštědel 0,6 t za rok nebo větší"
2022,119805902,"TECHN","Ofset s celkovou projektovanou spotřebou organických rozpouštědel 0,6 t za rok nebo větší"
2022,119805902,"TECHN","Povrchová úprava kovů a plastů a jiných nekovových předmětů s celkovou projektovanou kapacitou objemu lázně do 30 m3 včetně (vyjma oplachu), procesy bez použití lázní"
2022,119805912,"TECHN","Ofset s celkovou projektovanou spotřebou organických rozpouštědel 0,6 t za rok nebo větší"
2022,119805922,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119806382,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119806382,"SPAL","Spalování paliv v pístových spalovacích motorech o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119806682,"TECHN","Přestříkávání vozidel - opravárenství s celkovou projektovanou spotřebou organických rozpouštědel 0,5 t za rok nebo větší a nátěry při výrobě nových silničních a kolejových vozidel s celkovou projektovanou spotřebou organických rozpouštědel menší než 15 t za rok"
2022,119806702,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119806852,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119806892,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119806922,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119806932,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119806942,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119807042,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119807112,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119807132,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119807142,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119807582,"SPAL","Spalování paliv v pístových spalovacích motorech o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119807582,"TECHN","Čerpací stanice a zařízení na dopravu a skladování benzinu"
2022,119807592,"TECHN","Přestříkávání vozidel - opravárenství s celkovou projektovanou spotřebou organických rozpouštědel 0,5 t za rok nebo větší a nátěry při výrobě nových silničních a kolejových vozidel s celkovou projektovanou spotřebou organických rozpouštědel menší než 15 t za rok"
2022,119807692,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119807712,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119807722,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119807872,"TECHN","Čerpací stanice a zařízení na dopravu a skladování benzinu"
2022,119807982,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119807992,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119808042,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119808062,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119808062,"TECHN","Zpracování kamene, paliv nebo jiných nerostných surovin o celkové projektované kapacitě vyšší než 25 m3 za den - činnosti nesouvisející s těžbou (výroba nebo zpracování umělého kamene, ušlechtilá kamenická výroba; příprava stavebních hmot a betonu, recyklační linky stavebních hmot - nepřemisťující se zařízení)"
2022,119808072,"TECHN","Zpracování kamene, paliv nebo jiných nerostných surovin o celkové projektované kapacitě vyšší než 25 m3 za den - činnosti nesouvisející s těžbou (výroba nebo zpracování umělého kamene, ušlechtilá kamenická výroba; příprava stavebních hmot a betonu, recyklační linky stavebních hmot - nepřemisťující se zařízení)"
2022,119808082,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119808082,"TECHN","Zpracování kamene, paliv nebo jiných nerostných surovin o celkové projektované kapacitě vyšší než 25 m3 za den - činnosti nesouvisející s těžbou (výroba nebo zpracování umělého kamene, ušlechtilá kamenická výroba; příprava stavebních hmot a betonu, recyklační linky stavebních hmot - nepřemisťující se zařízení)"
2022,119808112,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119808122,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119808202,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119808232,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119808432,"TECHN","Ofset s celkovou projektovanou spotřebou organických rozpouštědel 0,6 t za rok nebo větší"
2022,119808572,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119808582,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119808782,"TECHN","Čerpací stanice a zařízení na dopravu a skladování benzinu"
2022,119808822,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119808822,"TECHN","Přestříkávání vozidel - opravárenství s celkovou projektovanou spotřebou organických rozpouštědel 0,5 t za rok nebo větší a nátěry při výrobě nových silničních a kolejových vozidel s celkovou projektovanou spotřebou organických rozpouštědel menší než 15 t za rok"
2022,119809022,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119809072,"TECHN","Čerpací stanice a zařízení na dopravu a skladování benzinu"
2022,119809172,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119809642,"TECHN","Jiné tiskařské činnosti s celkovou projektovanou spotřebou organických rozpouštědel 0,6 t za rok nebo větší"
2022,119809762,"TECHN","Čerpací stanice a zařízení na dopravu a skladování benzinu"
2022,119810362,"TECHN","Čerpací stanice a zařízení na dopravu a skladování benzinu"
2022,119810552,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119810592,"SPAL","Spalování paliv ve spalovacích stacionárních zdrojích o celkovém jmenovitém tepelném příkonu od více než 0,3 MW do 5 MW včetně, které nejsou uvedeny pod jiným kódem"
2022,119810622,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119810682,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119810692,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119810702,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119810722,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119810852,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119810882,"TECHN","Čerpací stanice a zařízení na dopravu a skladování benzinu"
2022,119810962,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119810972,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119810972,"SPAL","Spalování paliv v pístových spalovacích motorech o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119810982,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119810982,"SPAL","Spalování paliv v pístových spalovacích motorech o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811012,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811082,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811102,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811112,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811122,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811132,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811142,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811172,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811182,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811202,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811212,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811262,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811272,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811282,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811292,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811302,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811312,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811332,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811352,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811382,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811392,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811402,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811412,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811422,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811432,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811442,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811452,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811462,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811492,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811502,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811522,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811532,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811542,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811552,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811562,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811572,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811582,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811592,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811602,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811612,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811632,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811642,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811652,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811662,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811672,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811692,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811732,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811742,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811752,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811772,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811782,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811792,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119811802,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119812042,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119812042,"SPAL","Spalování paliv v pístových spalovacích motorech o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119812062,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119812322,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119812332,"SPAL","Spalování paliv v pístových spalovacích motorech o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119812352,"TECHN","Přestříkávání vozidel - opravárenství s celkovou projektovanou spotřebou organických rozpouštědel 0,5 t za rok nebo větší a nátěry při výrobě nových silničních a kolejových vozidel s celkovou projektovanou spotřebou organických rozpouštědel menší než 15 t za rok"
2022,119812382,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119812452,"SPAL","Spalování paliv v pístových spalovacích motorech o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119812462,"SPAL","Spalování paliv v pístových spalovacích motorech o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119812472,"SPAL","Spalování paliv v pístových spalovacích motorech o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119812542,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119812602,"SPAL","Spalování paliv v kotlích o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
2022,119812632,"SPAL","Spalování paliv v pístových spalovacích motorech o celkovém jmenovitém tepelném příkonu od 0,3 MW do 5 MW včetně"
